"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2023 - 2024","Buchanan County Public Schools","Council High ",SCH,99.1
"2023 - 2024","Buchanan County Public Schools","Grundy High",SCH,98.6
"2023 - 2024","Buchanan County Public Schools","Hurley Elementary/Middle",SCH,98.7
"2023 - 2024","Buchanan County Public Schools","Hurley High",SCH,98.7
"2023 - 2024","Buchanan County Public Schools","Riverview Elementary/Middle",SCH,98.8
"2023 - 2024","Buchanan County Public Schools","Twin Valley Elementary/Middle",SCH,98.8
"2023 - 2024","Buchanan County Public Schools","Twin Valley High",SCH,98.9
"2023 - 2024","Buckingham County Public Schools","Buckingham Co Elementary",SCH,96.7
"2023 - 2024","Buckingham County Public Schools","Buckingham Co Primary",SCH,96.6
"2023 - 2024","Buckingham County Public Schools","Buckingham County High",SCH,96.5
"2023 - 2024","Buckingham County Public Schools","Buckingham County Middle",SCH,96.6
"2023 - 2024","Buena Vista City Public Schools","Enderly Heights Elementary",SCH,89.3
"2023 - 2024","Buena Vista City Public Schools","F.W. Kling Jr. Elementary",SCH,89.6
"2023 - 2024","Buena Vista City Public Schools","Parry McCluer High",SCH,89.2
"2023 - 2024","Buena Vista City Public Schools","Parry McCluer Middle",SCH,89.1
"2023 - 2024","Campbell County Public Schools","Altavista Elementary",SCH,79
"2023 - 2024","Campbell County Public Schools","Altavista High",SCH,79.2
"2023 - 2024","Campbell County Public Schools","Brookneal Elementary",SCH,79
"2023 - 2024","Campbell County Public Schools","Brookville High",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Brookville Middle",SCH,79.2
"2023 - 2024","Campbell County Public Schools","Concord Elementary",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Leesville Road Elementary",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Rustburg Elementary",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Rustburg High",SCH,79
"2023 - 2024","Campbell County Public Schools","Rustburg Middle",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Tomahawk Elementary",SCH,79.1
"2023 - 2024","Campbell County Public Schools","William Campbell High",SCH,79.1
"2023 - 2024","Campbell County Public Schools","Yellow Branch Elementary",SCH,79.1
"2023 - 2024","Caroline County Public Schools","Bowling Green Elementary",SCH,79.3
"2023 - 2024","Caroline County Public Schools","Caroline High",SCH,79.3
"2023 - 2024","Caroline County Public Schools","Caroline Middle",SCH,79.3
"2023 - 2024","Caroline County Public Schools","Lewis and Clark Elementary",SCH,79.4
"2023 - 2024","Caroline County Public Schools","Madison Elementary",SCH,79.3
"2023 - 2024","Carroll County Public Schools","Carroll County High",SCH,91.1
"2023 - 2024","Carroll County Public Schools","Carroll County Middle",SCH,91
"2023 - 2024","Carroll County Public Schools","Fancy Gap Elementary",SCH,90.8
"2023 - 2024","Carroll County Public Schools","Gladesboro Elementary",SCH,91.5
"2023 - 2024","Carroll County Public Schools","Gladeville Elementary",SCH,91.3
"2023 - 2024","Carroll County Public Schools","Hillsville Elementary",SCH,91
"2023 - 2024","Carroll County Public Schools","Laurel Elementary",SCH,91.2
"2023 - 2024","Carroll County Public Schools","Oakland Elementary",SCH,91.1
"2023 - 2024","Carroll County Public Schools","St. Paul",SCH,91
"2023 - 2024","Charles City County Public Schools","Charles City County Elementary",SCH,100
"2023 - 2024","Charles City County Public Schools","Charles City County High",SCH,100
"2023 - 2024","Charlotte County Public Schools","Bacon District Elementary",SCH,89.1
"2023 - 2024","Charlotte County Public Schools","Central Middle",SCH,88.9
"2023 - 2024","Charlotte County Public Schools","Eureka Elementary",SCH,89.1
"2023 - 2024","Charlotte County Public Schools","Phenix Elementary",SCH,89.1
"2023 - 2024","Charlotte County Public Schools","Randolph-Henry High",SCH,88.9
"2023 - 2024","Charlottesville City Public Schools","Charlottesville High",SCH,64.1
"2023 - 2024","Charlottesville City Public Schools","Charlottesville Middle",SCH,71.6
"2023 - 2024","Charlottesville City Public Schools","Greenbrier Elementary",SCH,71.7
"2023 - 2024","Charlottesville City Public Schools","Jackson-Via Elementary",SCH,99.5
"2023 - 2024","Charlottesville City Public Schools","Summit Elementary",SCH,99.4
"2023 - 2024","Charlottesville City Public Schools","Sunrise Elementary",SCH,71.6
"2023 - 2024","Charlottesville City Public Schools","Tall Oaks Elementary",SCH,77.9
"2023 - 2024","Charlottesville City Public Schools","Trailblazer Elementary",SCH,64
"2023 - 2024","Charlottesville City Public Schools","Walker Upper Elementary",SCH,77.9
"2023 - 2024","Chesapeake City Public Schools","Butts Road Intermediate",SCH,13.5
"2023 - 2024","Chesapeake City Public Schools","Butts Road Primary",SCH,12.9
"2023 - 2024","Chesapeake City Public Schools","Camelot Elementary",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Cedar Road Elementary",SCH,16.6
"2023 - 2024","Chesapeake City Public Schools","Crestwood Middle",SCH,82.6
"2023 - 2024","Chesapeake City Public Schools","Deep Creek Central Elementary",SCH,28.1
"2023 - 2024","Chesapeake City Public Schools","Deep Creek Elementary",SCH,83.2
"2023 - 2024","Chesapeake City Public Schools","Deep Creek High",SCH,53
"2023 - 2024","Chesapeake City Public Schools","Deep Creek Middle",SCH,83.2
"2023 - 2024","Chesapeake City Public Schools","Edwin W. Chittum Elementary",SCH,22.7
"2023 - 2024","Chesapeake City Public Schools","G.A. Treakle Elementary",SCH,82.6
"2023 - 2024","Chesapeake City Public Schools","George W. Carver Intermediate",SCH,82.6
"2023 - 2024","Chesapeake City Public Schools","Georgetown Primary",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Grassfield Elementary",SCH,15
"2023 - 2024","Chesapeake City Public Schools","Grassfield High",SCH,16.9
"2023 - 2024","Chesapeake City Public Schools","Great Bridge High",SCH,24.8
"2023 - 2024","Chesapeake City Public Schools","Great Bridge Intermediate",SCH,19.7
"2023 - 2024","Chesapeake City Public Schools","Great Bridge Middle",SCH,16.3
"2023 - 2024","Chesapeake City Public Schools","Great Bridge Primary",SCH,21.6
"2023 - 2024","Chesapeake City Public Schools","Greenbrier Intermediate",SCH,52.3
"2023 - 2024","Chesapeake City Public Schools","Greenbrier Middle",SCH,44.8
"2023 - 2024","Chesapeake City Public Schools","Greenbrier Primary",SCH,41.3
"2023 - 2024","Chesapeake City Public Schools","Hickory Elementary",SCH,18.4
"2023 - 2024","Chesapeake City Public Schools","Hickory High",SCH,11.4
"2023 - 2024","Chesapeake City Public Schools","Hickory Middle",SCH,13.8
"2023 - 2024","Chesapeake City Public Schools","Hugo A. Owens Middle",SCH,31.1
"2023 - 2024","Chesapeake City Public Schools","Indian River High",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Indian River Middle",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Jolliff Middle",SCH,41.1
"2023 - 2024","Chesapeake City Public Schools","Norfolk Highlands Primary",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Oscar F. Smith High",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Oscar Smith Middle",SCH,83.1
"2023 - 2024","Chesapeake City Public Schools","Portlock Primary",SCH,82.7
"2023 - 2024","Chesapeake City Public Schools","Rena B. Wright Primary",SCH,83.1
"2023 - 2024","Chesapeake City Public Schools","Southeastern Elementary",SCH,17
"2023 - 2024","Chesapeake City Public Schools","Southwestern Elementary",SCH,82.6
"2023 - 2024","Chesapeake City Public Schools","Sparrow Road Intermediate",SCH,82.6
"2023 - 2024","Chesapeake City Public Schools","Thurgood Marshall Elementary",SCH,83.1
"2023 - 2024","Chesapeake City Public Schools","Truitt Intermediate",SCH,83.3
"2023 - 2024","Chesapeake City Public Schools","Western Branch High",SCH,37.2
"2023 - 2024","Chesapeake City Public Schools","Western Branch Intermediate",SCH,83.1
"2023 - 2024","Chesapeake City Public Schools","Western Branch Middle",SCH,58.1
"2023 - 2024","Chesapeake City Public Schools","Western Branch Primary",SCH,83.1
"2023 - 2024","Chesterfield County Public Schools","A.M. Davis Elementary",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","Alberta Smith Elementary",SCH,32.9
"2023 - 2024","Chesterfield County Public Schools","Bailey Bridge Middle",SCH,32.8
"2023 - 2024","Chesterfield County Public Schools","Bellwood Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Bensley Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Bettie Weaver Elementary",SCH,4.5
"2023 - 2024","Chesterfield County Public Schools","Beulah Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Bon Air Elementary",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","C.C. Wells Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","C.E. Curtis Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Carver College and Career Academy",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","Carver Middle",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","Clover Hill Elementary",SCH,32.7
"2023 - 2024","Chesterfield County Public Schools","Clover Hill High",SCH,33.5
"2023 - 2024","Chesterfield County Public Schools","Cosby High",SCH,15.9
"2023 - 2024","Chesterfield County Public Schools","Crestwood Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Ecoff Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Elizabeth Davis Middle",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","Elizabeth Scott Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Enon Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Ettrick Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Evergreen Elementary",SCH,29.4
"2023 - 2024","Chesterfield County Public Schools","Falling Creek Elementary",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","Falling Creek Middle",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Grange Hall Elementary",SCH,16.2
"2023 - 2024","Chesterfield County Public Schools","Greenfield Elementary",SCH,34.3
"2023 - 2024","Chesterfield County Public Schools","Harrowgate Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Hopkins Road Elementary",SCH,76.1
"2023 - 2024","Chesterfield County Public Schools","J.A. Chalkley Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","J.B. Watkins Elementary",SCH,18.3
"2023 - 2024","Chesterfield County Public Schools","J.G. Hening Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Jacobs Road Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","James River High",SCH,34.4
"2023 - 2024","Chesterfield County Public Schools","Lloyd C. Bird High",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Manchester High",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Manchester Middle",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Marguerite F. Christian Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Matoaca Elementary",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Matoaca High",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Matoaca Middle",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Meadowbrook High",SCH,76
"2023 - 2024","Chesterfield County Public Schools","Midlothian High",SCH,14.6
"2023 - 2024","Chesterfield County Public Schools","Midlothian Middle",SCH,14
"2023 - 2024","Chesterfield County Public Schools","Monacan High",SCH,36.3
"2023 - 2024","Chesterfield County Public Schools","Moseley Elementary",SCH,12
"2023 - 2024","Chesterfield County Public Schools","O.B. Gates Elementary",SCH,76
